time (PST),fog drip,rain (mm),wind gust (m/s),air temperature (C),relative humidity (%),wind speed (m/s),wind direction (deg)
2003-12-20 15:00:00,0.0,0.0,1.38,12.08,97.52,0.68,159.41
2003-12-20 16:00:00,0.0,0.0,1.02,12.0,97.52,0.44,247.58
2003-12-20 17:00:00,0.0,0.0,1.33,11.58,97.86,0.15,286.3
2003-12-20 18:00:00,0.0,0.0,1.43,11.13,98.14,0.72,324.26
2003-12-20 19:00:00,0.0,0.0,1.46,10.75,98.36,0.75,323.24
2003-12-20 20:00:00,0.0,0.0,1.35,10.62,98.99,0.87,325.51
2003-12-20 21:00:00,0.0,0.0,1.3,10.49,99.16,0.8,324.37
2003-12-20 22:00:00,0.0,0.0,1.18,10.38,99.17,0.41,325.45
2003-12-20 23:00:00,0.0,0.0,1.32,10.28,98.23,0.73,330.77
2003-12-21 00:00:00,0.0,0.0,1.07,10.95,95.87,0.58,325.57
2003-12-21 01:00:00,0.0,0.0,0.96,11.0,97.75,0.14,331.86
2003-12-21 02:00:00,0.0,0.0,0.33,11.13,97.05,0.01,52.74
2003-12-21 03:00:00,0.0,0.0,1.26,11.02,98.2,0.85,129.37
2003-12-21 04:00:00,0.0,0.0,1.95,10.85,99.12,0.54,158.21
2003-12-21 05:00:00,0.0,0.0,1.21,11.18,99.26,0.42,298.3
2003-12-21 06:00:00,0.0,0.0,1.07,10.85,99.15,0.37,314.42
2003-12-21 07:00:00,0.0,0.0,1.05,10.66,99.21,0.3,325.77
2003-12-21 08:00:00,0.0,0.0,0.77,11.06,95.67,0.03,277.84
2003-12-21 09:00:00,0.0,0.0,0.42,12.69,87.14,0.03,285.24
2003-12-21 10:00:00,0.0,0.0,0.82,14.38,78.17,0.16,299.49
2003-12-21 11:00:00,0.0,0.0,1.15,15.03,74.75,0.47,286.97
2003-12-21 12:00:00,0.0,0.0,2.27,15.93,77.07,1.08,200.65
2003-12-21 13:00:00,0.0,0.0,2.61,16.53,74.78,1.24,175.26
2003-12-21 14:00:00,0.0,0.0,2.63,15.44,76.5,1.0,176.26
2003-12-21 15:00:00,0.0,0.0,1.87,14.27,72.41,1.05,306.21
2003-12-21 16:00:00,0.0,0.0,1.83,12.97,78.11,1.21,325.18
2003-12-21 17:00:00,0.0,0.0,2.26,11.69,85.56,1.24,323.35
2003-12-21 18:00:00,0.0,0.0,2.72,10.76,94.46,2.01,319.74
2003-12-21 19:00:00,0.0,0.0,3.2,10.89,97.33,2.25,322.97
2003-12-21 20:00:00,0.0,0.0,2.35,10.73,93.63,2.02,328.38
2003-12-21 21:00:00,0.0,0.0,2.92,10.78,98.3,2.11,324.11
2003-12-21 22:00:00,0.0,0.0,2.97,10.98,98.54,2.22,319.64
2003-12-21 23:00:00,0.0,0.0,3.11,10.89,98.23,2.14,326.72
2003-12-22 00:00:00,0.0,0.0,2.91,10.64,98.01,1.93,327.19
2003-12-22 01:00:00,0.0,0.0,1.77,9.96,98.47,1.26,324.62
2003-12-22 02:00:00,0.0,0.0,1.92,9.45,99.09,1.31,328.85
2003-12-22 03:00:00,0.0,0.0,1.32,8.69,99.23,0.96,329.21
2003-12-22 04:00:00,0.0,0.0,1.41,8.51,99.3,1.1,329.8
2003-12-22 05:00:00,4.714,0.0,1.66,8.02,99.29,1.17,327.97
2003-12-22 06:00:00,0.0,0.0,1.92,8.62,99.42,1.51,328.78
2003-12-22 07:00:00,0.0,0.0,1.7,8.66,99.43,1.17,324.37
2003-12-22 08:00:00,0.0,0.0,1.78,9.52,95.55,0.72,72.99
2003-12-22 09:00:00,0.0,0.0,2.81,12.96,78.03,1.73,125.04
2003-12-22 10:00:00,0.0,0.0,3.12,14.42,72.98,2.36,143.24
2003-12-22 11:00:00,0.0,0.0,4.12,15.96,66.14,3.1,150.34
2003-12-22 12:00:00,0.0,0.0,4.31,16.19,55.01,3.4,148.04
2003-12-22 13:00:00,0.0,0.0,3.72,17.13,48.97,2.79,158.13
2003-12-22 14:00:00,0.0,0.0,3.55,16.88,51.45,2.95,152.92
2003-12-22 15:00:00,0.0,0.0,3.05,16.71,51.65,1.94,159.5
2003-12-22 16:00:00,0.0,0.0,1.48,14.96,76.52,0.73,286.7
2003-12-22 17:00:00,0.0,0.0,1.68,11.32,96.0,1.16,322.32
2003-12-22 18:00:00,0.0,0.0,5.7,14.38,56.98,3.05,150.21
2003-12-22 19:00:00,0.0,0.0,7.0,16.72,35.26,4.51,151.63
2003-12-22 20:00:00,0.0,0.0,5.23,17.06,33.38,3.36,159.75
2003-12-22 21:00:00,0.0,0.0,5.46,17.17,32.13,3.78,168.78
2003-12-22 22:00:00,0.0,0.0,5.9,17.31,30.39,4.11,144.29
2003-12-22 23:00:00,0.0,0.0,4.83,16.56,35.91,3.47,143.69
2003-12-23 00:00:00,0.0,0.0,6.88,15.87,37.41,5.29,146.35
2003-12-23 01:00:00,0.0,0.0,6.52,14.96,47.17,4.5,145.9
2003-12-23 02:00:00,0.0,0.0,6.05,13.54,67.52,4.83,144.01
2003-12-23 03:00:00,0.0,0.0,6.37,12.33,80.94,4.18,135.99
2003-12-23 04:00:00,0.0,0.0,7.21,13.36,69.77,5.76,147.15
2003-12-23 05:00:00,0.0,0.0,5.27,12.49,83.99,3.76,142.0
2003-12-23 06:00:00,0.0,0.0,5.92,12.19,85.94,4.19,138.38
2003-12-23 07:00:00,0.0,0.1,5.57,11.41,91.47,4.14,140.11
2003-12-23 08:00:00,0.0,0.1,6.8,10.89,93.4,4.78,135.55
2003-12-23 09:00:00,4.714,0.1,10.3,10.43,90.7,6.33,146.27
2003-12-23 10:00:00,0.0,0.0,10.08,10.59,94.2,6.2,139.7
2003-12-23 11:00:00,0.0,0.1,9.06,10.47,92.47,7.21,138.05
2003-12-23 12:00:00,0.0,0.0,8.28,10.43,92.88,6.54,140.48
2003-12-23 13:00:00,0.0,0.0,7.12,10.46,92.59,6.02,141.3
2003-12-23 14:00:00,0.0,0.0,6.37,10.18,95.36,4.24,143.96
2003-12-23 15:00:00,0.0,0.0,7.72,10.0,94.3,5.89,140.51
2003-12-23 16:00:00,0.0,0.0,7.21,10.01,95.76,5.53,141.06
2003-12-23 17:00:00,0.0,0.0,5.77,10.03,95.63,4.21,149.12
2003-12-23 18:00:00,0.0,0.0,7.02,10.25,96.51,5.02,142.46
2003-12-23 19:00:00,0.0,0.0,7.0,10.18,97.25,5.74,140.08
2003-12-23 20:00:00,0.0,0.0,6.51,10.08,96.07,5.14,140.78
2003-12-23 21:00:00,0.0,0.0,5.43,10.1,97.66,4.52,136.0
2003-12-23 22:00:00,0.0,0.0,6.1,10.26,97.5,5.0,141.76
2003-12-23 23:00:00,0.0,0.0,5.41,10.34,97.83,4.05,142.16
2003-12-24 00:00:00,0.0,0.0,4.87,10.43,98.37,3.86,140.85
2003-12-24 01:00:00,0.0,0.0,4.58,10.21,98.88,3.73,144.66
2003-12-24 02:00:00,0.0,0.0,5.81,10.33,98.89,4.04,139.15
2003-12-24 03:00:00,0.0,0.0,5.35,10.46,98.55,4.16,141.57
2003-12-24 04:00:00,0.0,0.0,5.16,10.72,98.27,3.27,133.05
2003-12-24 05:00:00,0.0,0.0,4.97,10.76,98.21,3.64,142.49
2003-12-24 06:00:00,4.714,0.0,5.03,11.01,99.13,4.04,144.73
2003-12-24 07:00:00,4.714,0.0,5.58,11.11,99.25,4.0,141.81
2003-12-24 08:00:00,0.0,0.0,5.83,11.25,99.31,4.48,145.87
2003-12-24 09:00:00,4.714,0.0,6.63,11.69,99.36,4.74,144.3
2003-12-24 10:00:00,9.428,0.0,6.17,12.03,99.39,4.89,144.07
2003-12-24 11:00:00,0.0,0.0,6.68,12.09,99.41,4.8,143.4
2003-12-24 12:00:00,4.714,0.0,7.02,11.85,99.4,5.74,144.88
2003-12-24 13:00:00,0.0,0.0,7.07,11.52,99.42,5.87,142.0
2003-12-24 14:00:00,4.714,0.0,7.41,11.6,99.43,5.91,141.27
2003-12-24 15:00:00,4.714,0.0,7.05,11.99,99.44,5.43,145.02
2003-12-24 16:00:00,4.714,0.0,5.47,11.92,99.44,4.07,146.53
2003-12-24 17:00:00,0.0,0.0,6.05,11.94,99.45,4.5,141.53
2003-12-24 18:00:00,0.0,0.0,4.77,12.04,99.48,3.17,137.82
2003-12-24 19:00:00,0.0,0.0,3.41,12.14,99.52,2.85,139.82
2003-12-24 20:00:00,0.0,0.0,3.35,12.13,99.57,2.4,139.54
2003-12-24 21:00:00,4.714,0.0,2.6,12.23,99.58,2.09,143.9
2003-12-24 22:00:00,0.0,0.0,2.62,12.28,99.6,1.68,139.17
2003-12-24 23:00:00,0.0,0.0,1.95,12.32,99.6,1.4,142.08
2003-12-25 00:00:00,0.0,0.0,1.36,12.47,99.64,0.37,131.09
2003-12-25 01:00:00,0.0,0.0,1.01,12.49,99.65,0.14,233.31
2003-12-25 02:00:00,0.0,0.0,1.13,12.43,99.67,0.29,259.8
2003-12-25 03:00:00,0.0,0.0,0.63,11.75,99.69,0.05,306.78
2003-12-25 04:00:00,0.0,0.0,0.87,11.47,99.7,0.14,191.45
2003-12-25 05:00:00,0.0,0.0,1.43,11.52,99.7,0.53,149.71
2003-12-25 06:00:00,0.0,0.0,3.38,11.18,99.71,1.88,150.6
2003-12-25 07:00:00,0.0,0.0,2.88,10.93,99.73,1.54,157.19
2003-12-25 08:00:00,0.0,0.0,3.56,11.06,99.71,1.81,152.66
2003-12-25 09:00:00,0.0,0.0,3.72,11.41,99.71,2.18,149.88
2003-12-25 10:00:00,0.0,0.0,5.56,11.69,99.7,3.6,157.25
2003-12-25 11:00:00,4.714,0.0,5.21,12.08,99.69,3.6,156.83
2003-12-25 12:00:00,9.428,0.1,6.12,12.49,99.7,4.59,150.48
2003-12-25 13:00:00,9.428,0.1,8.0,12.89,99.67,5.5,150.3
2003-12-25 14:00:00,0.0,0.0,9.03,13.3,99.65,5.8,159.5
2003-12-25 15:00:00,0.0,0.0,6.42,11.59,99.66,3.78,325.03
2003-12-25 16:00:00,0.0,0.0,6.77,8.81,99.14,4.81,320.12
2003-12-25 17:00:00,0.0,0.0,7.15,8.34,92.74,5.06,316.53
2003-12-25 18:00:00,0.0,0.0,6.63,8.18,89.38,5.16,313.28
2003-12-25 19:00:00,0.0,0.0,6.16,7.81,88.63,4.65,316.86
2003-12-25 20:00:00,0.0,0.0,5.81,7.4,87.98,4.13,315.02
2003-12-25 21:00:00,0.0,0.0,5.15,7.34,86.7,3.6,305.49
2003-12-25 22:00:00,0.0,0.0,5.02,7.32,86.05,3.55,314.02
2003-12-25 23:00:00,0.0,0.0,6.06,7.4,81.62,4.15,308.45
2003-12-26 00:00:00,0.0,0.0,4.77,7.56,81.56,3.43,316.85
2003-12-26 01:00:00,0.0,0.0,4.71,7.73,81.98,3.08,310.29
2003-12-26 02:00:00,0.0,0.0,4.56,7.63,80.86,2.84,313.15
2003-12-26 03:00:00,0.0,0.0,4.97,7.54,78.86,3.02,317.63
2003-12-26 04:00:00,0.0,0.0,3.86,7.66,78.46,2.65,311.95
2003-12-26 05:00:00,0.0,0.0,4.28,7.21,79.04,2.5,315.81
2003-12-26 06:00:00,0.0,0.0,3.88,7.25,78.59,2.47,329.33
2003-12-26 07:00:00,0.0,0.0,4.25,7.02,79.44,2.72,313.2
2003-12-26 08:00:00,0.0,0.0,4.4,7.43,77.7,3.0,320.04
2003-12-26 09:00:00,0.0,0.0,4.27,8.46,74.14,2.91,308.34
2003-12-26 10:00:00,0.0,0.0,5.32,9.01,70.53,3.23,317.33
2003-12-26 11:00:00,0.0,0.0,5.62,9.38,67.75,3.65,317.41
2003-12-26 12:00:00,0.0,0.0,5.2,9.56,65.43,3.74,320.07
2003-12-26 13:00:00,0.0,0.0,5.32,9.76,61.16,3.82,321.98
2003-12-26 14:00:00,0.0,0.0,5.45,9.95,61.71,3.98,319.29
2003-12-26 15:00:00,0.0,0.0,5.2,9.88,62.68,3.81,328.57
2003-12-26 16:00:00,0.0,0.0,5.12,9.54,64.93,3.4,320.05
2003-12-26 17:00:00,0.0,0.0,4.57,8.72,70.48,3.71,322.93
2003-12-26 18:00:00,0.0,0.0,4.41,8.09,70.01,2.6,311.27
2003-12-26 19:00:00,0.0,0.0,3.4,7.78,71.11,2.06,324.11
2003-12-26 20:00:00,0.0,0.0,3.01,7.6,75.23,1.68,330.97
2003-12-26 21:00:00,0.0,0.0,4.33,7.66,74.2,2.62,308.69
2003-12-26 22:00:00,0.0,0.0,3.66,7.6,75.11,2.2,313.79
2003-12-26 23:00:00,0.0,0.0,3.55,7.62,75.3,2.37,314.4
2003-12-27 00:00:00,0.0,0.0,3.51,7.52,73.41,2.65,320.11
2003-12-27 01:00:00,0.0,0.0,3.36,7.51,71.74,2.45,320.81
2003-12-27 02:00:00,0.0,0.0,4.1,7.42,71.45,2.32,316.79
2003-12-27 03:00:00,0.0,0.0,2.81,7.11,72.35,1.59,312.71
2003-12-27 04:00:00,0.0,0.0,3.15,7.04,71.95,2.2,318.79
2003-12-27 05:00:00,0.0,0.0,2.8,6.71,73.8,1.5,318.5
2003-12-27 06:00:00,0.0,0.0,3.27,7.12,69.79,2.32,316.57
2003-12-27 07:00:00,0.0,0.0,3.22,7.16,66.26,1.88,318.1
2003-12-27 08:00:00,0.0,0.0,2.92,7.34,67.47,2.16,321.87
2003-12-27 09:00:00,0.0,0.0,2.87,8.01,66.44,2.04,325.11
2003-12-27 10:00:00,0.0,0.0,2.17,9.54,56.74,1.28,334.79
2003-12-27 11:00:00,0.0,0.0,2.13,10.41,50.62,0.98,344.04
2003-12-27 12:00:00,0.0,0.0,1.65,11.5,46.9,0.97,322.7
2003-12-27 13:00:00,0.0,0.0,1.71,10.96,50.78,1.29,325.06
2003-12-27 14:00:00,0.0,0.0,1.67,11.0,49.46,1.25,320.28
2003-12-27 15:00:00,0.0,0.0,2.12,11.06,47.98,1.48,328.94
2003-12-27 16:00:00,0.0,0.0,2.47,10.64,50.29,1.79,330.45
2003-12-27 17:00:00,0.0,0.0,3.11,9.69,64.96,2.29,326.15
2003-12-27 18:00:00,0.0,0.0,2.26,8.78,78.47,1.65,325.75
2003-12-27 19:00:00,0.0,0.0,1.87,8.56,62.07,1.39,331.9
2003-12-27 20:00:00,0.0,0.0,2.25,7.92,61.91,1.62,327.72
2003-12-27 21:00:00,0.0,0.0,1.95,7.99,61.56,1.12,337.2
2003-12-27 22:00:00,0.0,0.0,1.26,8.38,51.51,0.65,342.48
2003-12-27 23:00:00,0.0,0.0,1.96,8.79,30.89,0.81,61.63
2003-12-28 00:00:00,0.0,0.0,1.73,8.84,30.49,0.37,90.67
2003-12-28 01:00:00,0.0,0.0,1.25,7.99,50.8,0.53,336.35
2003-12-28 02:00:00,0.0,0.0,0.97,7.6,60.53,0.29,26.59
2003-12-28 03:00:00,0.0,0.0,0.76,7.73,51.82,0.24,22.08
2003-12-28 04:00:00,0.0,0.0,1.68,7.73,46.94,0.75,55.68
2003-12-28 05:00:00,0.0,0.0,2.07,8.56,36.17,1.01,85.76
2003-12-28 06:00:00,0.0,0.0,1.48,7.9,41.61,0.71,341.95
2003-12-28 07:00:00,0.0,0.0,1.13,7.07,40.66,0.48,355.77
2003-12-28 08:00:00,0.0,0.0,1.48,9.37,28.99,0.16,93.49
2003-12-28 09:00:00,0.0,0.0,2.11,11.66,29.05,1.34,149.72
2003-12-28 10:00:00,0.0,0.0,3.75,12.76,29.25,2.07,155.23
2003-12-28 11:00:00,0.0,0.0,2.81,13.87,31.76,1.97,163.85
2003-12-28 12:00:00,0.0,0.0,2.52,14.71,33.42,1.2,222.23
2003-12-28 13:00:00,0.0,0.0,1.96,14.04,40.13,0.7,279.89
2003-12-28 14:00:00,0.0,0.0,1.25,14.06,40.87,0.58,283.36
2003-12-28 15:00:00,0.0,0.0,2.91,13.25,40.98,1.81,167.86
2003-12-28 16:00:00,0.0,0.0,2.38,12.06,45.71,1.03,208.15
2003-12-28 17:00:00,0.0,0.0,1.25,9.51,58.14,0.79,323.09
2003-12-28 18:00:00,0.0,0.0,1.82,7.96,66.08,1.13,325.23
2003-12-28 19:00:00,0.0,0.0,1.65,7.44,73.21,1.18,329.86
2003-12-28 20:00:00,0.0,0.0,1.63,7.53,80.98,1.29,324.89
2003-12-28 21:00:00,0.0,0.0,1.36,7.03,83.93,0.77,328.83
2003-12-28 22:00:00,0.0,0.0,1.17,6.88,77.25,0.8,332.64
2003-12-28 23:00:00,0.0,0.0,1.62,6.86,75.48,1.11,331.48
2003-12-29 00:00:00,0.0,0.0,1.33,6.82,70.65,0.84,331.25
2003-12-29 01:00:00,0.0,0.0,1.45,7.24,72.75,1.05,331.64
2003-12-29 02:00:00,0.0,0.0,1.33,7.27,80.39,0.93,331.93
2003-12-29 03:00:00,0.0,0.0,1.33,7.24,82.73,0.99,333.28
2003-12-29 04:00:00,0.0,0.0,1.17,6.99,82.24,0.72,332.44
2003-12-29 05:00:00,0.0,0.0,1.68,7.12,84.53,0.85,329.0
2003-12-29 06:00:00,0.0,0.0,1.23,7.03,88.91,0.69,327.02
2003-12-29 07:00:00,0.0,0.0,1.08,7.07,90.37,0.32,328.76
2003-12-29 08:00:00,0.0,0.0,1.63,7.35,89.18,0.27,327.66
2003-12-29 09:00:00,0.0,0.0,1.06,8.33,83.58,0.24,136.13
2003-12-29 10:00:00,0.0,0.0,2.03,9.37,76.73,1.01,160.3
2003-12-29 11:00:00,0.0,0.0,5.17,10.2,71.51,2.7,154.67
2003-12-29 12:00:00,0.0,0.0,5.85,9.9,75.13,4.11,148.1
2003-12-29 13:00:00,0.0,0.0,6.32,9.42,76.61,4.69,146.61
2003-12-29 14:00:00,0.0,0.0,4.91,9.11,77.96,3.66,142.67
2003-12-29 15:00:00,0.0,0.0,8.02,8.94,80.85,4.9,147.78
2003-12-29 16:00:00,0.0,0.0,5.08,8.9,80.72,2.98,146.56
2003-12-29 17:00:00,0.0,0.0,3.98,8.72,80.21,2.94,143.0
2003-12-29 18:00:00,0.0,0.0,3.82,8.69,83.0,3.25,143.22
2003-12-29 19:00:00,0.0,0.0,4.26,8.75,84.47,2.99,137.81
2003-12-29 20:00:00,0.0,0.0,8.71,8.76,86.07,5.51,141.12
2003-12-29 21:00:00,0.0,0.0,9.76,8.81,86.01,6.98,150.89
2003-12-29 22:00:00,0.0,0.0,9.35,8.99,87.6,7.71,142.78
2003-12-29 23:00:00,0.0,0.0,9.05,9.17,87.91,7.55,147.02
2003-12-30 00:00:00,0.0,0.0,8.25,9.11,89.23,6.31,144.0
2003-12-30 01:00:00,0.0,0.0,10.4,9.24,90.34,8.76,147.31
2003-12-30 02:00:00,0.0,0.0,10.02,9.43,89.67,8.31,140.63
2003-12-30 03:00:00,0.0,0.0,9.06,9.51,88.29,7.47,143.71
2003-12-30 04:00:00,0.0,0.0,8.22,9.59,87.18,6.11,142.53
2003-12-30 05:00:00,0.0,0.0,7.91,9.45,84.7,6.08,144.95
2003-12-30 06:00:00,0.0,0.0,8.68,9.28,75.09,6.27,137.29
2003-12-30 07:00:00,0.0,0.0,10.52,9.56,79.12,7.53,137.29
2003-12-30 08:00:00,0.0,0.0,8.96,9.68,68.75,6.82,138.23
2003-12-30 09:00:00,0.0,0.0,9.4,10.09,66.95,7.01,142.86
2003-12-30 10:00:00,0.0,0.0,9.9,10.94,59.38,7.65,143.03
2003-12-30 11:00:00,0.0,0.0,9.0,11.91,69.2,7.12,145.03
2003-12-30 12:00:00,0.0,0.0,8.47,12.14,59.99,6.39,144.44
2003-12-30 13:00:00,0.0,0.0,7.67,11.71,47.05,5.47,133.94
2003-12-30 14:00:00,0.0,0.0,6.88,12.91,46.9,4.7,141.05
2003-12-30 15:00:00,0.0,0.0,5.97,14.02,45.8,4.29,150.61
2003-12-30 16:00:00,0.0,0.0,7.45,12.83,42.85,5.53,149.56
2003-12-30 17:00:00,0.0,0.0,7.4,11.95,44.38,5.38,150.1
2003-12-30 18:00:00,0.0,0.0,6.07,11.34,45.44,3.21,153.67
2003-12-30 19:00:00,0.0,0.0,3.17,11.02,46.62,1.95,161.69
2003-12-30 20:00:00,0.0,0.0,3.83,10.94,46.75,1.52,145.86
2003-12-30 21:00:00,0.0,0.0,1.98,11.34,45.68,0.99,288.85
2003-12-30 22:00:00,0.0,0.0,1.71,11.73,43.51,0.65,276.52
2003-12-30 23:00:00,0.0,0.0,3.6,11.8,42.37,1.24,220.88
2003-12-31 00:00:00,0.0,0.0,3.36,11.37,43.07,0.93,158.43
2003-12-31 01:00:00,0.0,0.0,2.63,11.74,40.34,1.37,315.15
2003-12-31 02:00:00,0.0,0.0,1.71,10.88,45.26,1.17,344.09
2003-12-31 03:00:00,0.0,0.0,1.26,11.11,41.86,0.19,205.33
2003-12-31 04:00:00,0.0,0.0,2.46,11.01,40.5,0.84,339.58
2003-12-31 05:00:00,0.0,0.0,3.13,11.3,39.8,1.94,117.46
2003-12-31 06:00:00,0.0,0.0,3.88,11.46,37.82,2.1,144.88
2003-12-31 07:00:00,0.0,0.0,1.66,11.24,36.88,0.57,89.62
2003-12-31 08:00:00,0.0,0.0,1.85,11.63,38.07,0.72,10.77
2003-12-31 09:00:00,0.0,0.0,2.81,13.84,36.66,1.34,158.57
2003-12-31 10:00:00,0.0,0.0,3.27,15.83,34.89,2.54,156.39
2003-12-31 11:00:00,0.0,0.0,3.17,15.89,36.6,2.52,150.69
2003-12-31 12:00:00,0.0,0.0,3.42,16.04,36.99,1.82,175.88
2003-12-31 13:00:00,0.0,0.0,1.15,16.2,42.8,0.41,274.17
2003-12-31 14:00:00,0.0,0.0,1.48,14.68,47.86,0.52,270.05
2003-12-31 15:00:00,0.0,0.0,2.17,15.48,44.25,0.92,242.82
2003-12-31 16:00:00,0.0,0.0,2.68,13.79,59.63,0.7,172.34
2003-12-31 17:00:00,0.0,0.0,0.83,11.71,68.28,0.21,323.58
2003-12-31 18:00:00,0.0,0.0,1.58,10.57,65.35,0.7,330.3
2003-12-31 19:00:00,0.0,0.0,1.66,10.3,60.5,0.89,325.9
2003-12-31 20:00:00,0.0,0.0,0.96,10.06,61.18,0.49,335.2
2003-12-31 21:00:00,0.0,0.0,1.01,10.46,48.59,0.29,357.9
2003-12-31 22:00:00,0.0,0.0,1.25,9.93,61.1,0.56,68.65
2003-12-31 23:00:00,0.0,0.0,0.97,10.35,55.17,0.32,24.78
2004-01-01 00:00:00,0.0,0.0,1.93,10.73,53.72,0.89,95.52
2004-01-01 01:00:00,0.0,0.0,2.18,9.9,59.49,1.39,123.54
2004-01-01 02:00:00,0.0,0.0,2.31,9.33,70.17,1.75,124.92
2004-01-01 03:00:00,0.0,0.0,2.57,10.06,62.47,1.66,109.04
2004-01-01 04:00:00,0.0,0.0,2.82,10.45,56.83,1.59,103.51
2004-01-01 05:00:00,0.0,0.0,2.57,10.46,55.68,1.69,110.65
2004-01-01 06:00:00,0.0,0.0,3.1,10.12,58.94,2.22,127.18
2004-01-01 07:00:00,0.0,0.0,3.85,9.26,81.96,3.06,121.31
2004-01-01 08:00:00,0.0,0.0,3.95,9.46,91.34,3.1,122.93
2004-01-01 09:00:00,0.0,0.0,3.62,10.2,89.02,2.87,139.62
2004-01-01 10:00:00,0.0,0.0,4.31,12.12,78.01,3.48,151.73
2004-01-01 11:00:00,0.0,0.0,4.95,12.79,71.87,3.75,148.7
2004-01-01 12:00:00,0.0,0.0,5.26,13.49,70.16,4.01,150.29
2004-01-01 13:00:00,0.0,0.0,4.23,13.11,74.03,2.68,144.43
2004-01-01 14:00:00,0.0,0.0,2.95,12.61,76.99,1.92,153.67
2004-01-01 15:00:00,0.0,0.0,3.57,12.37,79.58,2.57,149.37
2004-01-01 16:00:00,0.0,0.0,3.46,12.5,80.96,2.58,148.09
2004-01-01 17:00:00,0.0,0.0,3.3,11.28,87.71,2.32,145.14
2004-01-01 18:00:00,0.0,0.0,3.07,10.42,94.23,2.1,143.03
2004-01-01 19:00:00,0.0,0.0,2.78,10.31,96.48,2.07,144.61
2004-01-01 20:00:00,0.0,0.0,3.85,10.57,96.88,2.88,133.68
2004-01-01 21:00:00,0.0,0.0,3.53,10.73,96.55,2.81,138.35
2004-01-01 22:00:00,0.0,0.0,3.56,10.91,96.2,2.77,140.71
2004-01-01 23:00:00,0.0,0.0,2.83,10.93,96.65,1.89,143.51
2004-01-02 00:00:00,0.0,0.1,2.07,10.49,97.92,1.31,122.56
2004-01-02 01:00:00,0.0,0.1,3.61,10.63,98.55,1.52,130.07
2004-01-02 02:00:00,4.714,0.1,3.85,11.16,98.97,2.0,148.2
2004-01-02 03:00:00,0.0,0.0,4.56,11.61,99.07,0.83,187.83
2004-01-02 04:00:00,0.0,0.0,2.95,11.73,99.1,1.06,314.54
2004-01-02 05:00:00,0.0,0.0,1.73,11.55,99.14,1.03,324.22
2004-01-02 06:00:00,0.0,0.0,1.27,11.49,99.18,0.42,311.99
2004-01-02 07:00:00,0.0,0.1,1.57,11.6,99.22,0.54,305.66
2004-01-02 08:00:00,0.0,0.0,1.3,11.38,99.23,0.71,325.05
2004-01-02 09:00:00,0.0,0.0,1.47,11.29,99.24,0.95,322.53
2004-01-02 10:00:00,0.0,0.0,1.15,11.42,99.29,0.48,318.96
2004-01-02 11:00:00,0.0,0.0,1.01,11.77,99.31,0.56,326.09
2004-01-02 12:00:00,0.0,0.0,1.8,11.65,98.84,0.85,325.03
2004-01-02 13:00:00,0.0,0.0,1.56,11.25,96.2,0.94,323.57
2004-01-02 14:00:00,0.0,0.0,1.81,11.34,93.48,1.22,329.36
2004-01-02 15:00:00,0.0,0.0,2.15,10.98,93.72,1.52,324.44
2004-01-02 16:00:00,0.0,0.0,3.02,10.47,98.12,1.89,326.01
2004-01-02 17:00:00,0.0,0.0,2.6,9.9,98.9,1.91,325.92
