time (PST),fog,fog tips,rain (mm),air temperature (C),relative humidity (%),wind speed (m/s),wind gust (m/s),wind direction (deg)
2003-12-24 00:00:00,0.0,0.0,0.0,10.43,98.37,3.86,4.87,140.85
2003-12-24 01:00:00,0.0,0.0,0.0,10.21,98.88,3.73,4.58,144.66
2003-12-24 02:00:00,0.0,0.0,0.0,10.33,98.89,4.04,5.81,139.15
2003-12-24 03:00:00,0.0,0.0,0.0,10.46,98.55,4.16,5.35,141.57
2003-12-24 04:00:00,0.0,0.0,0.0,10.72,98.27,3.27,5.16,133.05
2003-12-24 05:00:00,0.0,0.0,0.0,10.76,98.21,3.64,4.97,142.49
2003-12-24 06:00:00,4.714,1.0,0.0,11.01,99.13,4.04,5.03,144.73
2003-12-24 07:00:00,4.714,1.0,0.0,11.11,99.25,4.0,5.58,141.81
2003-12-24 08:00:00,0.0,0.0,0.0,11.25,99.31,4.48,5.83,145.87
2003-12-24 09:00:00,4.714,1.0,0.0,11.69,99.36,4.74,6.63,144.3
2003-12-24 10:00:00,9.428,2.0,0.0,12.03,99.39,4.89,6.17,144.07
2003-12-24 11:00:00,0.0,0.0,0.0,12.09,99.41,4.8,6.68,143.4
2003-12-24 12:00:00,4.714,1.0,0.0,11.85,99.4,5.74,7.02,144.88
2003-12-24 13:00:00,0.0,0.0,0.0,11.52,99.42,5.87,7.07,142.0
2003-12-24 14:00:00,4.714,1.0,0.0,11.6,99.43,5.91,7.41,141.27
2003-12-24 15:00:00,4.714,1.0,0.0,11.99,99.44,5.43,7.05,145.02
2003-12-24 16:00:00,4.714,1.0,0.0,11.92,99.44,4.07,5.47,146.53
2003-12-24 17:00:00,0.0,0.0,0.0,11.94,99.45,4.5,6.05,141.53
2003-12-24 18:00:00,0.0,0.0,0.0,12.04,99.48,3.17,4.77,137.82
2003-12-24 19:00:00,0.0,0.0,0.0,12.14,99.52,2.85,3.41,139.82
2003-12-24 20:00:00,0.0,0.0,0.0,12.13,99.57,2.4,3.35,139.54
2003-12-24 21:00:00,4.714,1.0,0.0,12.23,99.58,2.09,2.6,143.9
2003-12-24 22:00:00,0.0,0.0,0.0,12.28,99.6,1.68,2.62,139.17
2003-12-24 23:00:00,0.0,0.0,0.0,12.32,99.6,1.4,1.95,142.08
2003-12-25 00:00:00,0.0,0.0,0.0,12.47,99.64,0.37,1.36,131.09
2003-12-25 01:00:00,0.0,0.0,0.0,12.49,99.65,0.14,1.01,233.31
2003-12-25 02:00:00,0.0,0.0,0.0,12.43,99.67,0.29,1.13,259.8
2003-12-25 03:00:00,0.0,0.0,0.0,11.75,99.69,0.05,0.63,306.78
2003-12-25 04:00:00,0.0,0.0,0.0,11.47,99.7,0.14,0.87,191.45
2003-12-25 05:00:00,0.0,0.0,0.0,11.52,99.7,0.53,1.43,149.71
2003-12-25 06:00:00,0.0,0.0,0.0,11.18,99.71,1.88,3.38,150.6
2003-12-25 07:00:00,0.0,0.0,0.0,10.93,99.73,1.54,2.88,157.19
2003-12-25 08:00:00,0.0,0.0,0.0,11.06,99.71,1.81,3.56,152.66
2003-12-25 09:00:00,0.0,0.0,0.0,11.41,99.71,2.18,3.72,149.88
2003-12-25 10:00:00,0.0,0.0,0.0,11.69,99.7,3.6,5.56,157.25
2003-12-25 11:00:00,4.714,1.0,0.0,12.08,99.69,3.6,5.21,156.83
2003-12-25 12:00:00,9.428,2.0,0.1,12.49,99.7,4.59,6.12,150.48
2003-12-25 13:00:00,9.428,2.0,0.1,12.89,99.67,5.5,8.0,150.3
2003-12-25 14:00:00,0.0,0.0,0.0,13.3,99.65,5.8,9.03,159.5
2003-12-25 15:00:00,0.0,0.0,0.0,11.59,99.66,3.78,6.42,325.03
2003-12-25 16:00:00,0.0,0.0,0.0,8.81,99.14,4.81,6.77,320.12
2003-12-25 17:00:00,0.0,0.0,0.0,8.34,92.74,5.06,7.15,316.53
2003-12-25 18:00:00,0.0,0.0,0.0,8.18,89.38,5.16,6.63,313.28
2003-12-25 19:00:00,0.0,0.0,0.0,7.81,88.63,4.65,6.16,316.86
2003-12-25 20:00:00,0.0,0.0,0.0,7.4,87.98,4.13,5.81,315.02
2003-12-25 21:00:00,0.0,0.0,0.0,7.34,86.7,3.6,5.15,305.49
2003-12-25 22:00:00,0.0,0.0,0.0,7.32,86.05,3.55,5.02,314.02
2003-12-25 23:00:00,0.0,0.0,0.0,7.4,81.62,4.15,6.06,308.45
2003-12-26 00:00:00,0.0,0.0,0.0,7.56,81.56,3.43,4.77,316.85
2003-12-26 01:00:00,0.0,0.0,0.0,7.73,81.98,3.08,4.71,310.29
2003-12-26 02:00:00,0.0,0.0,0.0,7.63,80.86,2.84,4.56,313.15
2003-12-26 03:00:00,0.0,0.0,0.0,7.54,78.86,3.02,4.97,317.63
2003-12-26 04:00:00,0.0,0.0,0.0,7.66,78.46,2.65,3.86,311.95
2003-12-26 05:00:00,0.0,0.0,0.0,7.21,79.04,2.5,4.28,315.81
2003-12-26 06:00:00,0.0,0.0,0.0,7.25,78.59,2.47,3.88,329.33
2003-12-26 07:00:00,0.0,0.0,0.0,7.02,79.44,2.72,4.25,313.2
2003-12-26 08:00:00,0.0,0.0,0.0,7.43,77.7,3.0,4.4,320.04
2003-12-26 09:00:00,0.0,0.0,0.0,8.46,74.14,2.91,4.27,308.34
2003-12-26 10:00:00,0.0,0.0,0.0,9.01,70.53,3.23,5.32,317.33
2003-12-26 11:00:00,0.0,0.0,0.0,9.38,67.75,3.65,5.62,317.41
2003-12-26 12:00:00,0.0,0.0,0.0,9.56,65.43,3.74,5.2,320.07
2003-12-26 13:00:00,0.0,0.0,0.0,9.76,61.16,3.82,5.32,321.98
2003-12-26 14:00:00,0.0,0.0,0.0,9.95,61.71,3.98,5.45,319.29
2003-12-26 15:00:00,0.0,0.0,0.0,9.88,62.68,3.81,5.2,328.57
2003-12-26 16:00:00,0.0,0.0,0.0,9.54,64.93,3.4,5.12,320.05
2003-12-26 17:00:00,0.0,0.0,0.0,8.72,70.48,3.71,4.57,322.93
2003-12-26 18:00:00,0.0,0.0,0.0,8.09,70.01,2.6,4.41,311.27
2003-12-26 19:00:00,0.0,0.0,0.0,7.78,71.11,2.06,3.4,324.11
2003-12-26 20:00:00,0.0,0.0,0.0,7.6,75.23,1.68,3.01,330.97
2003-12-26 21:00:00,0.0,0.0,0.0,7.66,74.2,2.62,4.33,308.69
2003-12-26 22:00:00,0.0,0.0,0.0,7.6,75.11,2.2,3.66,313.79
2003-12-26 23:00:00,0.0,0.0,0.0,7.62,75.3,2.37,3.55,314.4
2003-12-27 00:00:00,0.0,0.0,0.0,7.52,73.41,2.65,3.51,320.11
2003-12-27 01:00:00,0.0,0.0,0.0,7.51,71.74,2.45,3.36,320.81
2003-12-27 02:00:00,0.0,0.0,0.0,7.42,71.45,2.32,4.1,316.79
2003-12-27 03:00:00,0.0,0.0,0.0,7.11,72.35,1.59,2.81,312.71
2003-12-27 04:00:00,0.0,0.0,0.0,7.04,71.95,2.2,3.15,318.79
2003-12-27 05:00:00,0.0,0.0,0.0,6.71,73.8,1.5,2.8,318.5
2003-12-27 06:00:00,0.0,0.0,0.0,7.12,69.79,2.32,3.27,316.57
2003-12-27 07:00:00,0.0,0.0,0.0,7.16,66.26,1.88,3.22,318.1
2003-12-27 08:00:00,0.0,0.0,0.0,7.34,67.47,2.16,2.92,321.87
2003-12-27 09:00:00,0.0,0.0,0.0,8.01,66.44,2.04,2.87,325.11
2003-12-27 10:00:00,0.0,0.0,0.0,9.54,56.74,1.28,2.17,334.79
2003-12-27 11:00:00,0.0,0.0,0.0,10.41,50.62,0.98,2.13,344.04
2003-12-27 12:00:00,0.0,0.0,0.0,11.5,46.9,0.97,1.65,322.7
2003-12-27 13:00:00,0.0,0.0,0.0,10.96,50.78,1.29,1.71,325.06
2003-12-27 14:00:00,0.0,0.0,0.0,11.0,49.46,1.25,1.67,320.28
2003-12-27 15:00:00,0.0,0.0,0.0,11.06,47.98,1.48,2.12,328.94
2003-12-27 16:00:00,0.0,0.0,0.0,10.64,50.29,1.79,2.47,330.45
2003-12-27 17:00:00,0.0,0.0,0.0,9.69,64.96,2.29,3.11,326.15
2003-12-27 18:00:00,0.0,0.0,0.0,8.78,78.47,1.65,2.26,325.75
2003-12-27 19:00:00,0.0,0.0,0.0,8.56,62.07,1.39,1.87,331.9
2003-12-27 20:00:00,0.0,0.0,0.0,7.92,61.91,1.62,2.25,327.72
2003-12-27 21:00:00,0.0,0.0,0.0,7.99,61.56,1.12,1.95,337.2
2003-12-27 22:00:00,0.0,0.0,0.0,8.38,51.51,0.65,1.26,342.48
2003-12-27 23:00:00,0.0,0.0,0.0,8.79,30.89,0.81,1.96,61.63
2003-12-28 00:00:00,0.0,0.0,0.0,8.84,30.49,0.37,1.73,90.67
2003-12-28 01:00:00,0.0,0.0,0.0,7.99,50.8,0.53,1.25,336.35
2003-12-28 02:00:00,0.0,0.0,0.0,7.6,60.53,0.29,0.97,26.59
2003-12-28 03:00:00,0.0,0.0,0.0,7.73,51.82,0.24,0.76,22.08
2003-12-28 04:00:00,0.0,0.0,0.0,7.73,46.94,0.75,1.68,55.68
2003-12-28 05:00:00,0.0,0.0,0.0,8.56,36.17,1.01,2.07,85.76
2003-12-28 06:00:00,0.0,0.0,0.0,7.9,41.61,0.71,1.48,341.95
2003-12-28 07:00:00,0.0,0.0,0.0,7.07,40.66,0.48,1.13,355.77
2003-12-28 08:00:00,0.0,0.0,0.0,9.37,28.99,0.16,1.48,93.49
2003-12-28 09:00:00,0.0,0.0,0.0,11.66,29.05,1.34,2.11,149.72
2003-12-28 10:00:00,0.0,0.0,0.0,12.76,29.25,2.07,3.75,155.23
2003-12-28 11:00:00,0.0,0.0,0.0,13.87,31.76,1.97,2.81,163.85
2003-12-28 12:00:00,0.0,0.0,0.0,14.71,33.42,1.2,2.52,222.23
2003-12-28 13:00:00,0.0,0.0,0.0,14.04,40.13,0.7,1.96,279.89
2003-12-28 14:00:00,0.0,0.0,0.0,14.06,40.87,0.58,1.25,283.36
2003-12-28 15:00:00,0.0,0.0,0.0,13.25,40.98,1.81,2.91,167.86
2003-12-28 16:00:00,0.0,0.0,0.0,12.06,45.71,1.03,2.38,208.15
2003-12-28 17:00:00,0.0,0.0,0.0,9.51,58.14,0.79,1.25,323.09
2003-12-28 18:00:00,0.0,0.0,0.0,7.96,66.08,1.13,1.82,325.23
2003-12-28 19:00:00,0.0,0.0,0.0,7.44,73.21,1.18,1.65,329.86
2003-12-28 20:00:00,0.0,0.0,0.0,7.53,80.98,1.29,1.63,324.89
2003-12-28 21:00:00,0.0,0.0,0.0,7.03,83.93,0.77,1.36,328.83
2003-12-28 22:00:00,0.0,0.0,0.0,6.88,77.25,0.8,1.17,332.64
2003-12-28 23:00:00,0.0,0.0,0.0,6.86,75.48,1.11,1.62,331.48
2003-12-29 00:00:00,0.0,0.0,0.0,6.82,70.65,0.84,1.33,331.25
2003-12-29 01:00:00,0.0,0.0,0.0,7.24,72.75,1.05,1.45,331.64
2003-12-29 02:00:00,0.0,0.0,0.0,7.27,80.39,0.93,1.33,331.93
2003-12-29 03:00:00,0.0,0.0,0.0,7.24,82.73,0.99,1.33,333.28
2003-12-29 04:00:00,0.0,0.0,0.0,6.99,82.24,0.72,1.17,332.44
2003-12-29 05:00:00,0.0,0.0,0.0,7.12,84.53,0.85,1.68,329.0
2003-12-29 06:00:00,0.0,0.0,0.0,7.03,88.91,0.69,1.23,327.02
2003-12-29 07:00:00,0.0,0.0,0.0,7.07,90.37,0.32,1.08,328.76
2003-12-29 08:00:00,0.0,0.0,0.0,7.35,89.18,0.27,1.63,327.66
2003-12-29 09:00:00,0.0,0.0,0.0,8.33,83.58,0.24,1.06,136.13
2003-12-29 10:00:00,0.0,0.0,0.0,9.37,76.73,1.01,2.03,160.3
2003-12-29 11:00:00,0.0,0.0,0.0,10.2,71.51,2.7,5.17,154.67
2003-12-29 12:00:00,0.0,0.0,0.0,9.9,75.13,4.11,5.85,148.1
2003-12-29 13:00:00,0.0,0.0,0.0,9.42,76.61,4.69,6.32,146.61
2003-12-29 14:00:00,0.0,0.0,0.0,9.11,77.96,3.66,4.91,142.67
2003-12-29 15:00:00,0.0,0.0,0.0,8.94,80.85,4.9,8.02,147.78
2003-12-29 16:00:00,0.0,0.0,0.0,8.9,80.72,2.98,5.08,146.56
2003-12-29 17:00:00,0.0,0.0,0.0,8.72,80.21,2.94,3.98,143.0
2003-12-29 18:00:00,0.0,0.0,0.0,8.69,83.0,3.25,3.82,143.22
2003-12-29 19:00:00,0.0,0.0,0.0,8.75,84.47,2.99,4.26,137.81
2003-12-29 20:00:00,0.0,0.0,0.0,8.76,86.07,5.51,8.71,141.12
2003-12-29 21:00:00,0.0,0.0,0.0,8.81,86.01,6.98,9.76,150.89
2003-12-29 22:00:00,0.0,0.0,0.0,8.99,87.6,7.71,9.35,142.78
2003-12-29 23:00:00,0.0,0.0,0.0,9.17,87.91,7.55,9.05,147.02
2003-12-30 00:00:00,0.0,0.0,0.0,9.11,89.23,6.31,8.25,144.0
2003-12-30 01:00:00,0.0,0.0,0.0,9.24,90.34,8.76,10.4,147.31
2003-12-30 02:00:00,0.0,0.0,0.0,9.43,89.67,8.31,10.02,140.63
2003-12-30 03:00:00,0.0,0.0,0.0,9.51,88.29,7.47,9.06,143.71
2003-12-30 04:00:00,0.0,0.0,0.0,9.59,87.18,6.11,8.22,142.53
2003-12-30 05:00:00,0.0,0.0,0.0,9.45,84.7,6.08,7.91,144.95
2003-12-30 06:00:00,0.0,0.0,0.0,9.28,75.09,6.27,8.68,137.29
2003-12-30 07:00:00,0.0,0.0,0.0,9.56,79.12,7.53,10.52,137.29
2003-12-30 08:00:00,0.0,0.0,0.0,9.68,68.75,6.82,8.96,138.23
2003-12-30 09:00:00,0.0,0.0,0.0,10.09,66.95,7.01,9.4,142.86
2003-12-30 10:00:00,0.0,0.0,0.0,10.94,59.38,7.65,9.9,143.03
2003-12-30 11:00:00,0.0,0.0,0.0,11.91,69.2,7.12,9.0,145.03
2003-12-30 12:00:00,0.0,0.0,0.0,12.14,59.99,6.39,8.47,144.44
2003-12-30 13:00:00,0.0,0.0,0.0,11.71,47.05,5.47,7.67,133.94
2003-12-30 14:00:00,0.0,0.0,0.0,12.91,46.9,4.7,6.88,141.05
2003-12-30 15:00:00,0.0,0.0,0.0,14.02,45.8,4.29,5.97,150.61
2003-12-30 16:00:00,0.0,0.0,0.0,12.83,42.85,5.53,7.45,149.56
2003-12-30 17:00:00,0.0,0.0,0.0,11.95,44.38,5.38,7.4,150.1
2003-12-30 18:00:00,0.0,0.0,0.0,11.34,45.44,3.21,6.07,153.67
2003-12-30 19:00:00,0.0,0.0,0.0,11.02,46.62,1.95,3.17,161.69
2003-12-30 20:00:00,0.0,0.0,0.0,10.94,46.75,1.52,3.83,145.86
2003-12-30 21:00:00,0.0,0.0,0.0,11.34,45.68,0.99,1.98,288.85
2003-12-30 22:00:00,0.0,0.0,0.0,11.73,43.51,0.65,1.71,276.52
2003-12-30 23:00:00,0.0,0.0,0.0,11.8,42.37,1.24,3.6,220.88
2003-12-31 00:00:00,0.0,0.0,0.0,11.37,43.07,0.93,3.36,158.43
2003-12-31 01:00:00,0.0,0.0,0.0,11.74,40.34,1.37,2.63,315.15
2003-12-31 02:00:00,0.0,0.0,0.0,10.88,45.26,1.17,1.71,344.09
2003-12-31 03:00:00,0.0,0.0,0.0,11.11,41.86,0.19,1.26,205.33
2003-12-31 04:00:00,0.0,0.0,0.0,11.01,40.5,0.84,2.46,339.58
2003-12-31 05:00:00,0.0,0.0,0.0,11.3,39.8,1.94,3.13,117.46
2003-12-31 06:00:00,0.0,0.0,0.0,11.46,37.82,2.1,3.88,144.88
2003-12-31 07:00:00,0.0,0.0,0.0,11.24,36.88,0.57,1.66,89.62
2003-12-31 08:00:00,0.0,0.0,0.0,11.63,38.07,0.72,1.85,10.77
2003-12-31 09:00:00,0.0,0.0,0.0,13.84,36.66,1.34,2.81,158.57
2003-12-31 10:00:00,0.0,0.0,0.0,15.83,34.89,2.54,3.27,156.39
2003-12-31 11:00:00,0.0,0.0,0.0,15.89,36.6,2.52,3.17,150.69
2003-12-31 12:00:00,0.0,0.0,0.0,16.04,36.99,1.82,3.42,175.88
2003-12-31 13:00:00,0.0,0.0,0.0,16.2,42.8,0.41,1.15,274.17
2003-12-31 14:00:00,0.0,0.0,0.0,14.68,47.86,0.52,1.48,270.05
2003-12-31 15:00:00,0.0,0.0,0.0,15.48,44.25,0.92,2.17,242.82
2003-12-31 16:00:00,0.0,0.0,0.0,13.79,59.63,0.7,2.68,172.34
2003-12-31 17:00:00,0.0,0.0,0.0,11.71,68.28,0.21,0.83,323.58
2003-12-31 18:00:00,0.0,0.0,0.0,10.57,65.35,0.7,1.58,330.3
2003-12-31 19:00:00,0.0,0.0,0.0,10.3,60.5,0.89,1.66,325.9
2003-12-31 20:00:00,0.0,0.0,0.0,10.06,61.18,0.49,0.96,335.2
2003-12-31 21:00:00,0.0,0.0,0.0,10.46,48.59,0.29,1.01,357.9
2003-12-31 22:00:00,0.0,0.0,0.0,9.93,61.1,0.56,1.25,68.65
2003-12-31 23:00:00,0.0,0.0,0.0,10.35,55.17,0.32,0.97,24.78
2004-01-01 00:00:00,0.0,0.0,0.0,10.73,53.72,0.89,1.93,95.52
2004-01-01 01:00:00,0.0,0.0,0.0,9.9,59.49,1.39,2.18,123.54
2004-01-01 02:00:00,0.0,0.0,0.0,9.33,70.17,1.75,2.31,124.92
2004-01-01 03:00:00,0.0,0.0,0.0,10.06,62.47,1.66,2.57,109.04
2004-01-01 04:00:00,0.0,0.0,0.0,10.45,56.83,1.59,2.82,103.51
2004-01-01 05:00:00,0.0,0.0,0.0,10.46,55.68,1.69,2.57,110.65
2004-01-01 06:00:00,0.0,0.0,0.0,10.12,58.94,2.22,3.1,127.18
2004-01-01 07:00:00,0.0,0.0,0.0,9.26,81.96,3.06,3.85,121.31
2004-01-01 08:00:00,0.0,0.0,0.0,9.46,91.34,3.1,3.95,122.93
2004-01-01 09:00:00,0.0,0.0,0.0,10.2,89.02,2.87,3.62,139.62
2004-01-01 10:00:00,0.0,0.0,0.0,12.12,78.01,3.48,4.31,151.73
2004-01-01 11:00:00,0.0,0.0,0.0,12.79,71.87,3.75,4.95,148.7
